Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
,Gonda Uttar Pradesh ,26-09-2013   ,Maize   ,    Stem borer  ,  Low to Moderate  ,ICAR report  ,"82,27.25",
,Bulandshaher Uttar Pradesh  ,26-09-2013   ,Maize   ,    Stem borer  ,  Low to Moderate  ,ICAR report  ,"77.85,28.4",
"Kuttanod, Chittur, Alathur, Kuzhalmannam, Kollengode, Nenmara",", Alathur, Kuzhalmannam, Kollengode, Nenmara <brPalakkad Kerala    ",26-09-2013   ,Paddy   ,    Leaf folder stem caterpillar rice bug   ,  Moderate ,ICAR-advisory report  ,"76.65,10.77",
,Kannur Kerala   ,26-09-2013   ,Coconut   ,  Red palm weevil ,  Moderate ,ICAR-advisory report  ,"74.9,12.87",
,Vidarbha Maharashtra    ,28-09-2013   ,Castor   ,   Semi-looper ,  Moderate ,CRIDA ,"78.9053,19.8839",
,Kozikhode Kerala    ,26-09-2013   ,Coconut   ,  Red palm weevil ,  Moderate ,ICAR-advisory report  ,"75.77,11.25",
"Agroha, Barwala", <brHisar Haryana  ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"75.63,29.33",
Dhangal,Fatehabad Haryana  ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"75.45,29.52",
"Julana, Jind", <brJind Haryana   ,13-09-2013   ,Cotton   ,   Cotton leaf curl virus  ,  Moderate ,ipmweb.dacnet.nic.in  ,"76.3167,29.316",
,Pilibhit Uttar Pradesh  ,28-09-2013   ,Paddy   ,    BPH & Green Hopper  ,  Low to Moderate  ,CRIDA ,"79.8724,28.6497",
,Cuttack Orissa  ,28-09-2013   ,Jute   , Semi looper     ,   ,CRIDA ,"85.52,20.27",
"Kanatapara, Soro and Belpada", and Belpada <brCuttack Orissa ,23-09-2013   ,Paddy   ,    Sucking pests   ,  Low  ,Indian express  ,"85.52,20.27",
"Kanatapara, Soro and Belpada", and Belpada <brBalasore Orissa    ,23-09-2013   ,Paddy   ,    Sucking pests   ,  Low  ,Indian express  ,"86.93,21.49",
,Kalahandi Orissa    ,28-09-2013   ,Banana   ,"   Wilt, banana aphid, leaf spot disease & nematode infestation    ",   ,CRIDA ,"83.2,20.083",
,Mallapuram Kerala   ,08-09-2013   ,Arecanut   , Fruit rot   ,  High ,Hindu businessline  ,"76.083,11.041",
,Mirzapur Uttar Pradesh  ,26-09-2013   ,Okra   , Fruit borer ,  Low  ,ICAR report  ,"82.6,25.15",
,Hassan Karnataka    ,28-09-2013   ,Maize   ,    Stem borer  ,   ,CRIDA ,"76.1,13.06",
,Dakshin kannada Karnataka   ,08-09-2013   ,Arecanut   , Druit   ,  High ,Hindu businessline  ,"75.3,12.6",
,Uttar kannada Karnataka ,08-09-2013   ,Arecanut   , Druit   ,  High ,Hindu businessline  ,"74.7,14.6",
,Vizianagaram Andhra Pradesh ,25-09-2013   ,Sesames   ,  Pod borer   ,  Low  ,Agri dept  ,"83.42,18.12",
,Khammam Andhra Pradesh  ,25-09-2013   ,Black Gram   ,   Spodoptera  & Aphids    ,  Low  ,Agri dept  ,"80.15,17.25",
,Ernakulam Kerala    ,28-09-2013   ,Paddy   ,"    blue beetle, blast, brown spot and rice bug ",  Mild ,CRIDA ,"76.28,9.98",
,Kozikhode Kerala    ,28-09-2013   ,Paddy   ,"    blue beetle, blast, brown spot and rice bug ",  Mild ,CRIDA ,"75.77,11.25",
,Trichur Kerala  ,28-09-2013   ,Paddy   ,"    blue beetle, blast, brown spot and rice bug ",  Mild ,CRIDA ,"76.21,10.52",
,Aligarh Uttar Pradesh   ,28-09-2013   ,Paddy   ,    BPH & Green Hopper  ,  Low to Moderate  ,CRIDA ,"78.08,27.88",
,Moradabad Uttar Pradesh ,28-09-2013   ,Paddy   ,    BPH & Green Hopper  ,  Low to Moderate  ,CRIDA ,"78.78,28.83",
,Ghaziabad Uttar Pradesh ,26-09-2013   ,Okra   , Fruit borer ,  Low  ,ICAR report  ,"77.42,28.67",
,Trichur Kerala  ,08-09-2013   ,Arecanut   , Fruit rot   ,  High ,Hindu businessline  ,"76.21,10.52",
,Gulbarga Karnataka  ,28-09-2013   ,Sunflower   ,    Leaf eating caterpillars    ,  Low  ,CRIDA ,"76.833,17.333",
,Midnapur West Bengal    ,28-09-2013   ,Paddy   ,    Brown spot  ,  Low  ,CRIDA ,"87.319,22.424",
,Burdhaman West Bengal   ,28-09-2013   ,Paddy   ,    Brown spot  ,  Low  ,CRIDA ,"87.8608,23.2383",
,Guntur Andhra Pradesh   ,22-09-2013   ,Cotton   ,   Boll worm   ,  Mild ,CICR rep dt,"80.44,16.3",
,Akola Maharashtra   ,22-09-2013   ,Cotton   ,   Aphids and Jassids  ,  Low  ,CICR rep dt,"77,20.7",
,Khammam Andhra Pradesh  ,25-09-2013   ,Red gram   , Aphid   ,  Low  ,Agri dept  ,"80.15,17.25",
,Prakasam Andhra Pradesh ,22-09-2013   ,Cotton   ,   Boll worm   ,  Mild ,CICR rep dt,"80.05,15.5",
,Khammam Andhra Pradesh  ,25-09-2013   ,Groundnut   ,    Leaf webber & spodoptera    ,  Low  ,Agri dept  ,"80.15,17.25",
,Nalgonda Andhra Pradesh ,25-09-2013   ,Groundnut   ,    Spodoptera aphids YMV   ,  Low  ,Agri dept  ,"79.27,17.05",
,Krishna Andhra Pradesh  ,22-09-2013   ,Cotton   ,   Boll worm   ,  Mild ,CICR rep dt,"81.13,16.17",
,Bulandshahr Uttar Pradesh   ,05-10-2013   ,Maize   ,    Stem Borer  ,  Low  ,crida report  ,"77.9992,28.3667",
,Farrukhabad Uttar Pradesh   ,05-10-2013   ,Maize   ,    Stem Borer  ,  Low  ,crida report  ,"79.4515,27.4363",
,Kanpur Uttar Pradesh    ,05-10-2013   ,Cotton   ,   Sap sucking pest    ,  Low  ,crida report  ,"80.321,26.3803",
,Agra Uttar Pradesh  ,05-10-2013   ,Cotton   ,   Sap sucking pest    ,  Low  ,crida report  ,"78.0657,27.0052",
,Raichur Karnataka   ,05-10-2013   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,Crida report  ,"76.8906,16.0869",
,Bidar Karnataka ,05-10-2013   ,Maize   ,    Stem Borer  ,  Low  ,Crida report  ,"77.2241,17.9501",
,Gulbarga Karnataka  ,05-10-2013   ,Maize   ,    Stem Borer  ,  Low to Moderate  ,Crida report  ,"76.8818,17.0526",
,Durg Chhattisgarh   ,05-10-2013   ,Paddy   ,    Rice Blast  ,  Low  ,Crida report  ,"81.3467,21.1894",
,Raipur Chhattisgarh ,05-10-2013   ,Paddy   ,    WBPH    ,  Low to Moderate  ,Crida report  ,"82.1683,21.0687",
,Bilaspur Chhattisgarh   ,05-10-2013   ,Paddy   ,    Hipsa   ,  Low to Moderate  ,Crida report  ,"81.9559,22.3451",
,Janjgir- Champa Chhattisgarh    ,05-10-2013   ,Paddy   ,    Stem Borer  ,  Low to Moderate  ,Crida report  ,"82.7307,21.9244",
,Dhamtari Chhattisgarh   ,05-10-2013   ,Paddy   ,    Leaf folder ,  Low to Moderate  ,Crida report  ,"81.803,20.5539",
Miryalaguda,Nalgonda Andhra Pradesh    ,13-09-2013   ,Paddy   ,"    Gall midge, Caseworm    ",  Severe   ,DRR Pest Survey Report  ,"79.2815,17.0619",
Ragolu,Srikakulam Andhra Pradesh  ,17-09-2013   ,Paddy   ,    Stem Borer  ,  Low to Moderate  ,DRR Pest Survey Report  ,"83.9819,18.5754",
GARIYABAND,Raipur Chhattisgarh    ,10-09-2013   ,Paddy   ,    Gall midge  ,  Moderate ,DRR Pest Survey Report  ,"82.0653,20.6327",
Sanadra,Kheda Gujarat  ,16-09-2013   ,Paddy   ,    Leaf folder & leaf mite     ,  Mild ,DRR Pest Survey Report  ,"73.2678,22.8807",
Bharwana,Kangra Himachal Pradesh    ,15-09-2013   ,Paddy   ,    Hipsa   ,  Moderate ,DRR Pest Survey Report  ,"76.5812,32.055",
Khunti,Ranchi Jharkhand   ,12-09-2013   ,Paddy   ,    Gundhi bug & YSB    ,  Moderate ,DRR Pest Survey Report  ,"83.9711,21.3629",
Mumtazpur,Gurgaon Haryana    ,11-09-2013   ,Paddy   ,    BPH ,  Severe   ,DRR Pest Survey Report  ,"76.7837,28.2883",
Rajpur,Gurgaon Haryana    ,11-09-2013   ,Paddy   ,    BPH ,  Severe   ,DRR Pest Survey Report  ,"73.6076,19.0927",
Ghaghraghat,Bahraich Uttar Pradesh ,10-09-2013   ,Paddy   ,"    Termite, whorl maggot & gundhi bug  ",  Mild to moderate ,DRR Pest Survey Report  ,"81.4123,27.7403",
Bahalda,Boudh Orissa   ,05-10-2013   ,Brinjal    , Fruit & shoot Borer ,  Mild to moderate ,farmnest  ,"84.1707,20.6414",
,Shimoga Karnataka   ,11-09-2013   ,Banana   ,   Caterpillar ,  Low to Moderate  ,farmnest  ,"75.1761,14.0523",
,Idukki Kerala   ,02-10-2013   ,cardamom   , Root grub   ,  Low to Moderate  ,farmnest  ,"77.023,9.87307",
Bhawanipatna,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Stem Borer  ,  Moderate to High ,PTI  ,"83.1667,19.8776",
Jaipatna,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Sheat Blight    ,  Moderate to High ,PTI  ,"83.1021,19.8617",
Junagarh,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Brown Plant Hopper  ,  Moderate to High ,PTI  ,"82.9353,19.8587",
Koksara,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Leaf folder ,  Moderate to High ,PTI  ,"82.7098,19.6683",
Kesinga,Kalahandi Orissa   ,09-10-2013   ,Paddy   ,    Rice Blast  ,  Moderate ,PTI  ,"83.2157,20.1828",
